               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.043796,            0.022298,            0.010436,             0.90691,             0.47293,             0.46363,              0.3269,            0.010013,           0.0045154,           0.0032881,            0.070263,           0.0033041,           0.0033041
                   1,            0.026187,            0.012397,            0.006898,             0.47407,             0.50583,             0.49742,              0.4116,           0.0064791,           0.0024055,           0.0032312,                0.04,           0.0063746,           0.0063746
                   2,            0.022485,            0.010427,           0.0068468,             0.93327,             0.46874,             0.49184,             0.35009,            0.010264,           0.0030647,           0.0032201,           0.0094735,           0.0091811,           0.0091811
                   3,            0.019292,            0.009399,           0.0075444,             0.94715,              0.4881,               0.499,             0.36183,            0.007909,           0.0021515,           0.0032088,            0.008812,            0.008812,            0.008812
                   4,            0.015635,           0.0085821,           0.0077699,             0.48866,             0.73898,             0.51112,             0.42896,           0.0041686,           0.0014457,           0.0031905,            0.008812,            0.008812,            0.008812
                   5,             0.01223,           0.0076953,             0.00729,             0.48613,             0.98987,             0.51957,             0.44102,           0.0048527,            0.001605,           0.0031837,            0.008416,            0.008416,            0.008416
                   6,             0.01167,           0.0075914,           0.0066994,             0.47843,             0.84959,             0.50508,             0.39409,           0.0066496,           0.0026153,           0.0032181,             0.00802,             0.00802,             0.00802
                   7,            0.010896,           0.0074144,           0.0071238,               0.486,             0.92816,             0.51958,             0.49468,           0.0026981,           0.0014959,           0.0032033,            0.007624,            0.007624,            0.007624
                   8,           0.0094193,           0.0067875,           0.0067329,             0.49137,             0.97078,             0.51999,             0.45237,           0.0032629,           0.0010053,           0.0031969,            0.007228,            0.007228,            0.007228
                   9,           0.0087437,           0.0065952,            0.007125,             0.48755,             0.98167,             0.52557,               0.486,           0.0026582,           0.0013597,           0.0031833,            0.006832,            0.006832,            0.006832
                  10,           0.0099953,           0.0064807,            0.006822,             0.49002,             0.98599,             0.52522,             0.51357,           0.0018177,           0.0011215,           0.0031935,            0.006436,            0.006436,            0.006436
                  11,           0.0088993,           0.0063497,           0.0071888,             0.48697,             0.99509,             0.53929,             0.49727,           0.0026397,            0.001234,            0.003157,             0.00604,             0.00604,             0.00604
                  12,             0.00863,            0.006131,           0.0071602,             0.49056,             0.97333,             0.53505,             0.51951,            0.001888,           0.0010928,           0.0031656,            0.005644,            0.005644,            0.005644
                  13,           0.0075664,           0.0060904,           0.0070367,             0.49908,             0.96661,             0.55038,             0.53757,           0.0021719,           0.0012587,           0.0031427,            0.005248,            0.005248,            0.005248
                  14,           0.0078018,           0.0059873,           0.0065894,              0.5059,             0.86211,             0.57265,              0.5396,           0.0021482,           0.0011689,           0.0030729,            0.004852,            0.004852,            0.004852
                  15,           0.0069318,           0.0058316,           0.0063902,             0.54296,             0.68307,             0.58469,             0.58072,           0.0014202,           0.0011985,           0.0029682,            0.004456,            0.004456,            0.004456
                  16,           0.0072078,           0.0055174,           0.0062775,             0.55049,              0.7576,             0.59275,             0.58763,           0.0013248,           0.0011251,           0.0029349,             0.00406,             0.00406,             0.00406
                  17,           0.0057966,           0.0055045,           0.0061807,             0.60215,             0.70494,             0.62788,             0.62239,           0.0013346,           0.0010717,           0.0027586,            0.003664,            0.003664,            0.003664
                  18,           0.0062363,           0.0054244,           0.0063641,             0.58892,             0.72052,             0.63762,             0.63501,           0.0014442,           0.0010661,           0.0027544,            0.003268,            0.003268,            0.003268
                  19,           0.0060561,           0.0054347,            0.006178,              0.6167,             0.73003,             0.65817,             0.65383,           0.0013901,            0.001289,           0.0025666,            0.002872,            0.002872,            0.002872
                  20,           0.0060058,           0.0051766,           0.0063599,             0.64239,             0.73569,             0.69196,             0.69088,           0.0012452,           0.0011775,           0.0024307,            0.002476,            0.002476,            0.002476
                  21,           0.0060275,           0.0052213,           0.0060372,             0.63221,             0.74732,             0.68698,             0.68391,           0.0012557,           0.0010966,           0.0024688,             0.00208,             0.00208,             0.00208
                  22,           0.0049346,            0.004911,           0.0064983,             0.65466,              0.7108,             0.70264,             0.70218,           0.0011431,           0.0010718,            0.002331,            0.001684,            0.001684,            0.001684
                  23,           0.0053743,           0.0049894,           0.0059635,             0.65729,             0.76491,             0.73862,             0.73703,           0.0012436,          0.00090936,           0.0021909,            0.001288,            0.001288,            0.001288
                  24,           0.0047503,           0.0049496,             0.00579,             0.68597,             0.73361,             0.73901,             0.73888,          0.00097674,          0.00093284,            0.002188,            0.000892,            0.000892,            0.000892
